x_m,x_pitch,SR_v4_Whm2,BR_ufficiale_Whm2,diff_Whm2
0.0,0.0,4867.97131,4790.75855,77.21276000000034
0.1,0.02,4870.920250000001,4793.32904,77.59121000000141
0.2,0.04,5156.503280000001,5078.529839999999,77.97344000000157
0.30000000000000004,0.06000000000000001,5141.39265,5083.3944200000005,57.99822999999924
0.4,0.08,5649.76839,5590.75463,59.01375999999982
0.5,0.1,5656.17839,5597.687320000001,58.49106999999913
0.6000000000000001,0.12000000000000002,5664.54836,5616.83233,47.71602999999959
0.7000000000000001,0.14,4982.60518,4934.04548,48.55969999999979
0.8,0.16,4991.85493,4944.3148,47.54013000000032
0.9,0.18,5008.6790200000005,4947.110559999999,61.56846000000132
1.0,0.2,5095.399000000001,5032.049940000001,63.34906000000046
1.1,0.22000000000000003,4466.1530299999995,4404.53978,61.613249999999425
1.2000000000000002,0.24000000000000005,4491.72817,4416.494540000001,75.23362999999972
1.3,0.26,5177.650809999999,5104.02188,73.62892999999895
1.4000000000000001,0.28,5195.63155,5116.4090400000005,79.2225099999996
1.5,0.3,5212.65284,5137.74237,74.9104699999998
1.6,0.32,5696.0270500000015,5632.71754,63.309510000001865
1.7000000000000002,0.34,5713.69525,5642.547559999999,71.1476900000007
1.8,0.36,5707.499519999999,5642.01112,65.48839999999927
1.9000000000000001,0.38,5720.356170000002,5662.030939999999,58.3252300000031
2.0,0.4,6470.698570000001,6414.459240000001,56.239330000000336
2.1,0.42000000000000004,6701.73101,6643.648719999999,58.082290000001194
2.2,0.44000000000000006,6093.997530000001,6030.4378,63.559730000000854
2.3000000000000003,0.4600000000000001,6094.2939400000005,6026.360600000001,67.93333999999959
2.4000000000000004,0.4800000000000001,6105.1988599999995,6040.32399,64.87486999999965
2.5,0.5,6747.483130000001,6685.555200000001,61.92793000000074
2.6,0.52,6750.07697,6682.46954,67.60743000000002
2.7,0.54,6224.614770000001,6164.935970000001,59.67879999999968
2.8000000000000003,0.56,6212.302360000001,6153.69944,58.60292000000027
2.9000000000000004,0.5800000000000001,6212.818660000001,6143.55835,69.26031000000057
3.0,0.6,6731.637360000001,6657.77279,73.86457000000064
3.1,0.62,6721.8821100000005,6651.64698,70.23513000000003
3.2,0.64,5848.348100000001,5777.61778,70.73032000000148
3.3000000000000003,0.66,5832.94038,5768.722299999999,64.21808000000055
3.4000000000000004,0.68,5820.9802899999995,5742.806199999999,78.17409000000043
3.5,0.7,5821.19683,5736.440230000001,84.7565999999988
3.6,0.72,5429.47223,5347.262100000001,82.21012999999948
3.7,0.74,5420.24939,5328.16178,92.08760999999959
3.8000000000000003,0.76,5414.477279999999,5316.47783,97.99944999999934
3.9000000000000004,0.78,4720.343330000001,4626.43242,93.91091000000051
4.0,0.8,4696.73952,4615.88487,80.85465000000022
4.1000000000000005,0.8200000000000001,4686.74013,4604.392029999999,82.34810000000107
4.2,0.8400000000000001,5289.531850000001,5198.7945,90.73735000000124
4.3,0.86,5282.45522,5195.671160000001,86.78405999999904
4.4,0.8800000000000001,5275.838800000001,5192.118979999999,83.71982000000207
4.5,0.9,5271.04142,5175.68294,95.35847999999987
4.6000000000000005,0.9200000000000002,5267.65823,5170.01696,97.64127000000008
4.7,0.9400000000000001,5260.82517,5169.557669999999,91.26750000000084
4.800000000000001,0.9600000000000002,5256.275439999999,5168.57622,87.69921999999951
4.9,0.9800000000000001,4885.0278,4798.179180000001,86.84861999999885
5.0,1.0,4877.26786,4797.74468,79.52318000000014
