x_m,x_pitch,SR_v4_Whm2,BR_ufficiale_Whm2,diff_Whm2
0.0,0.0,455.14455999999996,454.11519999999996,1.029359999999997
0.1,0.02,455.07400000000007,453.86388999999997,1.2101100000000997
0.2,0.04,455.00359999999995,453.61044,1.3931599999999662
0.30000000000000004,0.06000000000000001,454.15168,453.41531000000003,0.7363699999999653
0.4,0.08,455.93417,456.1407899999999,-0.20661999999992986
0.5,0.1,456.96706,457.95633,-0.9892699999999763
0.6000000000000001,0.12000000000000002,463.43800000000005,461.85482,1.5831800000000271
0.7000000000000001,0.14,466.76151000000004,468.23366,-1.4721499999999423
0.8,0.16,470.08855,471.9141900000001,-1.825640000000078
0.9,0.18,477.12939,472.73181,4.397580000000005
1.0,0.2,481.88252,480.09995,1.782570000000021
1.1,0.22000000000000003,487.52873,484.71753000000007,2.8111999999999284
1.2000000000000002,0.24000000000000005,495.17728999999997,492.20563999999996,2.971650000000011
1.3,0.26,503.27733,499.0354899999999,4.2418400000000815
1.4000000000000001,0.28,507.78061,505.22885,2.5517600000000016
1.5,0.3,513.4973699999999,509.97589000000005,3.521479999999883
1.6,0.32,519.06553,514.72286,4.342669999999998
1.7000000000000002,0.34,521.71462,520.25007,1.4645499999999174
1.8,0.36,525.81795,522.90071,2.9172399999999925
1.9000000000000001,0.38,526.6661399999999,528.03625,-1.3701100000000679
2.0,0.4,531.86703,531.61998,0.2470499999999447
2.1,0.42000000000000004,531.65936,533.5884,-1.9290399999999863
2.2,0.44000000000000006,530.14448,534.67886,-4.534379999999942
2.3000000000000003,0.4600000000000001,534.02454,538.60566,-4.581119999999942
2.4000000000000004,0.4800000000000001,538.00261,540.6210500000001,-2.618440000000078
2.5,0.5,540.43453,539.90059,0.5339400000000296
2.6,0.52,535.20623,538.21072,-3.0044900000000325
2.7,0.54,537.28196,537.77648,-0.4945199999999659
2.8000000000000003,0.56,537.15846,536.21623,0.942229999999995
2.9000000000000004,0.5800000000000001,535.0952100000001,536.59326,-1.498049999999921
3.0,0.6,534.54962,535.6324,-1.082779999999957
3.1,0.62,533.9686800000001,535.10092,-1.1322399999999107
3.2,0.64,533.84469,532.0136699999999,1.8310200000000805
3.3000000000000003,0.66,529.3636300000001,531.15894,-1.7953099999999722
3.4000000000000004,0.68,526.4952799999999,523.9900200000001,2.5052599999997938
3.5,0.7,523.74116,521.1568900000001,2.5842699999999468
3.6,0.72,517.59967,515.2703499999999,2.3293200000000525
3.7,0.74,515.19042,510.44582,4.744599999999991
3.8000000000000003,0.76,509.13460000000003,508.00494000000003,1.1296600000000012
3.9000000000000004,0.78,502.14799000000005,502.91938,-0.7713899999999398
4.0,0.8,496.12501,498.92994999999996,-2.8049399999999878
4.1000000000000005,0.8200000000000001,491.21046,495.34448999999995,-4.134029999999939
4.2,0.8400000000000001,488.18686,491.22596000000004,-3.039100000000019
4.3,0.86,483.94036,488.23955,-4.29919000000001
4.4,0.8800000000000001,480.71252000000004,484.49115000000006,-3.778630000000021
4.5,0.9,482.13558000000006,483.68611999999996,-1.5505399999998986
4.6000000000000005,0.9200000000000002,479.47033999999996,481.51681,-2.046470000000056
4.7,0.9400000000000001,479.99141,481.51151000000004,-1.5201000000000704
4.800000000000001,0.9600000000000002,478.85019,480.16445999999996,-1.314269999999965
4.9,0.9800000000000001,478.2619199999999,478.8038699999999,-0.5419499999999857
5.0,1.0,477.34694,478.30667000000005,-0.9597300000000359
